fecha;emisor;total
2024-03-13;COACNJERUSALEN;9
2024-03-12;BBOLIVARIANOWEB;2518
2024-02-25;EMAGIC;5
2024-01-24;COACGUARANDA;487
2024-02-17;COACUNIONEJIDO;8
2024-03-08;REGISTROCIVIL;11
2024-01-25;coaccrea;5366
2024-03-12;DRIVIN;463
2024-03-07;AFECOR;109
2024-01-12;COOPANDINA;164
2024-01-14;MSPCITAS;35008
2024-02-28;COACTENANOTI;102
2024-03-06;COACSANISIDRO;27
2024-03-21;COACIMBABURAPAK;246
2024-03-25;PACIFICO;35869
2024-01-08;CACPEZAMORA;3071
2024-03-28;ECUASUENIA;23963
2024-03-11;COOPPEDROMONCAYO;838
2024-03-18;COOPSJCUENCA;23
2024-02-07;COACLAMANENSE;33
2024-01-02;PACIFICO;47091
2024-03-20;COACPASTAZACOO;3802
2024-02-09;COACOORCOTOPAXI;33
2024-03-15;COACVISANDESCOB;68
2024-03-11;ALDEAMO;82842
2024-04-02;KFCCORP;25
2024-02-12;CACPECOCR;80
2024-03-15;USERPOSPRD;2028
2024-02-13;ALYGUTAY;160
2024-03-12;MASIVA;8187
2024-01-06;COAC11JUN;710
2024-02-19;COACRECERWINARI;35
2024-02-10;COACATAHUALPA;11
2024-01-31;COOPVCISNE;791
2024-03-03;COOPAMBATOEC;1425
2024-03-14;PAYPHONEPROD;2529
2024-02-25;COOPKULLKIWASI;428
2024-02-26;COACSANFRANWS;154
2024-02-26;COOPORDESEG;35
2024-01-15;COOPFORTUNA;33
2024-03-31;COOPEDUZAMORA;34
2024-04-01;MARCABELI;222
2024-02-06;COOP4OCT;1044
2024-04-04;COOPANDINA;845
2024-01-03;Pycca;2240
2024-03-13;ONLYCONTROL;116
2024-02-07;GONETAPP;20
2024-03-10;SIERRACENTRO;87
2024-03-17;COOP11JUN;781
2024-01-17;COACMUJERESUCOO;48
2024-02-23;FIDEVALFONDOS;55
2024-02-07;BMACHALAPROD;8798
2024-03-23;COACSRGIRON;71
2024-04-03;CAJAKONTAY;2
2024-01-22;COOPSANTONIOTP;196
2024-01-31;COACRECERWINARI;49
2024-01-07;RESP_AUTO_1231;23
2024-02-22;CNACIONAL;3971
2024-02-24;COOP23JUL;3332
2024-04-03;VISUALTRACK;16
2024-01-27;CACPEZAMORA;1344
2024-03-28;COACCREDIYA;147
2024-02-21;COOPPEDROMONCAYO;786
2024-02-21;COACLUCAMBATCH;1874
2024-04-01;COACNJERUSALEN;21
2024-04-01;ONLYCONTROL;144
2024-02-01;COOPJARAMILLO;2603
2024-02-12;BLOJA;33470
2024-03-21;SICCEC;3874
2024-01-08;COACCOMERCIOCOO;1927
2024-03-30;CELERITYALD;2265
2024-02-29;COACAUSTRO;173
2024-02-15;MAVESA;662
2024-03-17;CACPECO;2530
2024-03-31;URBANOEXP;149
2024-02-29;COACVISANDES;429
2024-03-22;INNOVIX;751
2024-01-22;Pycca;1873
2024-03-20;COACSANJORGE;205
2024-03-27;COOPAUSTROEC;384
2024-03-23;KUNANSOFT;4
2024-01-10;KFCCORP;72
2024-02-21;COOPAMBATO;412
2024-03-06;COACSTANITA;1040
2024-02-14;COACLOJA;283
2024-02-12;MTIMBABURA;550
2024-02-07;COOPANTORCHA;192
2024-03-20;RESP_AUTO_3600;10
2024-01-05;COACCREDIYA;130
2024-01-10;CACPELOJA;347
2024-03-12;PNACALRTS;4293
2024-01-13;COOPJARAMILLO;979
2024-02-16;COACSTANITA;512
2024-03-04;COACLOJA;254
2024-01-05;SWEADENSEGUROS;659
2024-01-28;andinave;49
2024-02-07;COACSANFRANWS;128
2024-01-02;REPSOL;9
2024-03-11;DISCOVEROTP;782
2024-03-05;hospmet;50
2024-02-01;MARVICNET;7402
2024-03-12;URBANOEXP;6758
2024-01-12;COOPVCISNE;780
2024-02-01;COOPCOCA;271
2024-02-01;SIGMADENTAL;38
2024-04-01;Autoconsa;627
2024-02-09;HOSPAMB;233
2024-01-29;CACPELOJA;1742
2024-02-26;Coacunionpopular;2
2024-01-17;COACIMBABURAPAK;238
2024-01-16;COACSUMAKKAWSAY;369
2024-01-19;GONETAPP;74
2024-01-22;COACATAHUALPA;467
2024-03-19;COACVISANDES;227
2024-02-26;BMACHALAPROD;9011
2024-02-25;USERPOSPRD;1741
2024-01-23;GRUPASAOTP;679
2024-01-22;COOPDIFARE;159
2024-02-13;coaccrea;3824
2024-03-07;COACUNIONEJIDO;158
2024-02-19;USERPOSDEV;1
2024-02-21;BANCOCAPITAL;80
2024-02-09;COACTENANOTI;181
2024-01-24;BLOJA;58280
2024-01-24;DINERSOTP;3102
2024-01-05;MISUEC;268
2024-03-21;COACMUJERESUCOO;79
2024-02-26;COACLAMANENSE;39
2024-02-07;PACIFICOTP;149016
2024-03-19;COACAUSTRO;170
2024-03-14;COOP23JUL;5577
2024-02-02;COACLUCAMBATCH;858
2024-01-02;MIES;4
2024-01-16;BINTERPRB;2
2024-02-08;COOPMAQUITA;118
2024-01-23;COACEDUTUNG;72
2024-03-09;ALDEAMO;653
2024-01-21;SAGRARIO;2717
2024-03-15;ALESSACC;3272
2024-01-01;COOPCREDIL;11
2024-04-01;COACSANTAISABEL;750
2024-02-07;COPCHONE;10365
2024-02-02;AUCONSIS;280
2024-04-02;Motorplan;542
2024-01-15;BANFINCA;243
2024-01-11;COACLUCAMECLIP;363
2024-01-23;EPROCESSMED;20
2024-01-09;COACSANTAISABEL;559
2024-01-31;MUTUAMBATOEC;329
2024-02-16;CanalDigitalBDP;40100
2024-04-03;COACLUCAMECLIP;428
2024-02-27;COOPKULLKIWASI;486
2024-03-25;COACEDULOJA;608
2024-03-14;Coacunionpopular;9
2024-03-22;MASIVAABIMKT;2067
2024-03-01;COOPSJCUENCA;22
2024-04-03;COOPKULLKIWASI;482
2024-01-27;DIRECTVTMW;41
2024-03-30;ALDEAMO;558
2024-01-21;RETAILID4;59
2024-03-04;COACSRGIRON;341
2024-02-13;COACEDUTUNG;80
2024-03-26;DIPASO;49
2024-03-12;COACCOMERCIOCOO;2572
2024-03-31;IESSIBARRA;163
2024-01-07;GONETAPP;12
2024-03-05;CACPECO;5116
2024-03-21;CACPECOCR;136
2024-02-02;COACLOJA;263
2024-01-17;SICCEC;11646
2024-02-19;DIPASO;41
2024-02-16;COACBIBLIAN;4552
2024-01-23;ALESSACC;1311
2024-03-19;MUTUAMBATO;73
2024-02-27;COACLUCAM;651
2024-04-04;ecuaauto;159
2024-04-01;RESP_AUTO_3600;11
2024-01-05;DEPRATIFD;28
2024-02-25;COACYANTZAZA;734
2024-02-10;COACOSCUS;4201
2024-04-01;COACSANJORGE;870
2024-03-18;MSPCITAS;28639
2024-01-30;COACRIOBAMBA;2382
2024-02-29;URBANOEXP;5273
2024-01-19;BINTERNACIONALWB;2373
2024-01-14;COOPHUANCAVILCA;636
2024-02-28;COOPFDEASIS;180
2024-04-03;PAGUEYA;976
2024-02-14;CACPECOCR;145
2024-02-16;CNACIONALPRB;1
2024-01-08;SaviaHTPPBulk;199
2024-01-17;COACSALINAS;230
2024-02-26;COACPMVEGA;2189
2024-03-08;COACBIBLIAN;4725
2024-03-20;COACEDUCOTOPAXI;74
2024-03-20;SOFTSIERRA;45
2024-03-12;DEPRATI;222
2024-01-28;VIELECSA;23
2024-03-12;COACTENA;100
2024-02-28;bgmkt;174114
2024-01-28;COACCREDISOCIO;2
2024-03-20;COOPCALCETA;386
2024-02-17;COAC9OC;520
2024-01-09;CLUBMILES;9203
2024-02-24;COOPDIFARE;23
2024-03-06;COOPAUSTROEC;744
2024-01-22;SEGUSUAREZ;8
2024-03-30;PACIFICOTP;82737
2024-03-04;COOPSANFRANCIS;3530
2024-02-27;ALYGUTAY;313
2024-02-24;COACRECERWINARI;23
2024-02-29;BICCOCOONECTA;22
2024-03-13;VIAMATICA;3
2024-03-30;COPCHONE;822
2024-04-02;COOPANDINA;621
2024-01-29;COOPMULTIEMPRE;960
2024-03-23;COACOSCUSBATCH;10
2024-01-05;COACINTICOOP;15
2024-02-10;SERVIENTREGAGYE;18608
2024-01-03;COACIMBABURAPAK;507
2024-03-30;MTIMBABURA;832
2024-02-26;ASISKEN;333
2024-02-22;MAVESA;610
2024-02-20;PAGUEYA;12
2024-02-09;DISCOVEROTP;672
2024-02-11;COACSUMAKKAWSAY;31
2024-02-01;COOP4OCT;864
2024-01-15;SIERRACENTRO;124
2024-01-16;MODERNA;656
2024-01-26;COPCHONE;74915
2024-02-04;PACIFICOBAJA;9039
2024-03-19;COACSANANTONIO;453
2024-03-19;COACDAQUILEMAMSV;1973
2024-01-18;ECLIPFIRMADIG;349
2024-01-22;PACIFICOATM;102159
2024-03-12;DEPRATIBOT;400
2024-01-04;COOPSANTOIMBCOO;105
2024-03-21;COACAUSTRO;150
2024-01-19;MUTUAMBATOEC;219
2024-03-08;INNOVIX;533
2024-03-07;MAMBATOALD;199
2024-02-17;BVISIONFUND;228
2024-02-04;CELERITYALD;1757
2024-03-31;COOPSANTONIOTP;95
2024-01-22;CACPEZAMORA;2603
2024-01-22;FUNDEMIRO;78
2024-03-17;COOPJARAMILLO;568
2024-03-27;COACNJERUSALEN;12
2024-01-07;Farletza;24
2024-01-12;ECOTEC;293
2024-02-09;PRODUBANCOWEB;73929
2024-02-07;COACGUARANDA;722
2024-01-03;GEANOTIFICACION;2558
2024-01-15;BANRED;19
2024-03-05;COOPANTORIOSMKT;11420
2024-02-09;BUDGET;9
2024-02-25;genesis;6
2024-04-03;COACEDUTUNG;150
2024-03-31;coaccrea;5147
2024-03-24;IESSIBARRA;110
2024-02-15;COOP23JULCOB;1353
2024-03-21;ECUABULK;324
2024-03-26;hospmet;50
2024-03-23;COACBENEFICA;325
2024-04-02;BGMKTHUB;1009
2024-01-13;COOP11JUN;806
2024-03-07;SICCEC;1321
2024-01-05;KFCCORP;37
2024-01-21;BGINTERNACIONAL;17
2024-01-06;COACYANTZAZA;760
2024-02-09;COACBENEFICA;571
2024-01-20;COAC11JUN;720
2024-03-19;COACCOMERCIOCOO;2839
2024-03-13;COOPPROVIDA;36
2024-01-09;COOPFDEASIS;66
2024-01-10;COACSALINAS;194
2024-01-03;COACPASTAZA;1393
2024-02-17;SERVIENTREGAGYE;18108
2024-04-04;CACPECOCR;119
2024-01-08;CMS;9506
2024-01-21;VIELECSA;35
2024-01-18;COACBIBLIAN;5156
2024-01-02;COOPAUSTROEC;869
2024-01-22;DEPRATI;277
2024-03-26;MASIVA;6021
2024-02-23;CanalDigitalBDP;29781
2024-01-21;COOPHUANCAVILCA;725
2024-01-03;CARTOPEL;3061
2024-01-07;BGINTERNACIONAL;2
2024-01-30;COOPCALCETA;258
2024-03-13;SOFTSIERRA;82
2024-01-01;COOPAMBATOEC;1132
2024-01-09;BGMKT;35669
2024-03-01;COOPCOCA;278
2024-02-26;COOPSANFRANCIS;2492
2024-03-01;COACBIBLIAN;4858
2024-01-19;COACOSCUSBATCH;38
2024-01-21;COACCREDISOCIO;4
2024-03-13;PROTRAMITES;21727
2024-03-16;ALDEAMO;887
2024-01-08;BANFINCA;285
2024-01-15;SaviaHTPPBulk;171
2024-02-12;MARATHON;12545
2024-03-24;COACVENCEDORES;36
2024-01-10;BICCOCOONECTA;11
2024-01-05;COOPCENTRO;79
2024-01-05;COACRECERWINARI;33
2024-01-01;SIERRACENTRO;39
2024-01-22;COOPANTORIOSMKT;82
2024-01-23;VIAMATICA;1
2024-01-24;EQUIFAX;1
2024-03-05;ALYGUTAY;309
2024-03-22;COOP4OCT;655
2024-03-06;andinave;1236
2024-01-29;BLOJA;63080
2024-02-14;COACTENANOTI;138
2024-02-12;COOPANDINA;51
2024-03-31;SERVIENTREGAGYE;184
2024-04-01;COACEDULOJA;839
2024-01-16;COACEDUCOTOPAXI;493
2024-03-14;COACAUSTRO;138
2024-02-05;COOPMULTIEMPRE;1313
2024-02-25;COOPLDVALLE;223
2024-02-22;COACIMBABURAPAK;256
2024-03-23;PACIFICOTP;77327
2024-03-05;SIERRACENTRO;168
2024-03-05;BANRED;13
2024-01-12;MUTUAMBATOEC;180
2024-01-29;COACSANANTONIO;667
2024-01-29;FUNDEMIRO;77
2024-02-18;UANATACA;209
2024-03-16;COPCHONE;666
2024-02-29;MAVESA;259
2024-01-31;COACAUSTRO;185
2024-03-21;COOPPEDROMONCAYO;657
2024-02-29;MAMBATOALD;205
2024-02-29;COOP23JUL;7979
2024-01-28;COACLAMANENSE;1
2024-01-28;PACIFICOBAJA;7772
2024-03-15;INNOVIX;923
2024-03-10;COACYANTZAZA;747
2024-02-02;COPCHONE;3776
2024-01-06;COOPGUALAQUIZA;543
2024-01-30;USERPOSPRD;925
2024-03-03;COACEDUTUNG;107
2024-03-22;COAC11JUN;653
2024-01-06;INNOVIX;146
2024-01-18;COACYANTZAZA;2317
2024-03-06;EPROCESSMED;34
2024-01-23;COOPPUELLARO;292
2024-01-12;COACALIANZA;450
2024-02-23;COACSUMAKKAWSAY;116
2024-01-27;COACLUCAM;761
2024-02-29;BVISIONFUND;350
2024-03-16;COOPPEDROMONCAYO;572
2024-03-17;SIERRACENTRO;51
2024-01-25;COOPJARAMILLO;1696
2024-01-04;novacuenca;28
2024-01-29;Pycca;1859
2024-03-04;ECOTEC;750
2024-01-16;MARCABELI;118
2024-02-16;UANATACA;2156
2024-02-04;COACPASTAZACOO;3597
2024-01-15;COOPEDUZAMORA;11
2024-02-16;MODERNA;462
2024-02-10;COOPFORTUNA;59
2024-02-28;DEPRATIMONITOR;1
2024-04-03;COOP11JUNBATCH;266
2024-01-02;FINCORP;2193
2024-03-20;BINTERNACIONAL;56883
2024-01-01;COOP11JUN;430
2024-02-19;COACGUARANDA;857
2024-02-12;DEPRATIFD;29
2024-02-12;YANBAL;414
2024-03-12;COACOSCUS;6715
2024-03-30;ALDEAMO2;1
2024-03-23;COACSANTAISABEL;238
2024-02-28;PACIFICO;34334
2024-01-29;COONECTA;56
2024-02-09;MSPCITAS;1540
2024-03-18;ALDEAMO;18503
2024-02-29;AFECOR;120
2024-03-05;DRIVIN;600
2024-03-06;CACSPMEC;1119
2024-01-04;COACPASTAZACOO;4293
2024-01-29;ECUABULK;83
2024-04-04;GEOMIL;637
2024-01-03;CACPELOJA;159
2024-03-23;RESP_AUTO_1231;36
2024-02-08;MASIVAABIMKT;11
2024-01-12;COACCREDIYA;135
2024-02-14;COOPANTORCHA;379
2024-02-21;COACLOJA;251
2024-01-17;KFCCORP;43
2024-02-14;COACSRGIRON;234
2024-02-13;COOPCREDIL;4
2024-03-08;Autoconsa;502
2024-02-22;COACVISANDES;212
2024-01-17;COACSANANTONIO;684
2024-01-16;INDULENTES;4
2024-02-20;PLAPAZ;553
2024-02-14;GONETAPP;20
2024-01-22;IESSIBARRA;69
2024-01-05;SICCEC;1059
2024-02-15;CORPOCENOTP;1
2024-01-31;BLOJA;74237
2024-01-08;COACPASTAZA;1285
2024-03-04;CLUBMILES;4097
2024-02-28;CanalDigitalBDP;34625
2024-01-10;AFECOR;83
2024-03-30;COACCREDISOCIO;3
2024-02-08;COACVENCEDORES;104
2024-01-07;KUNANSOFT;1
2024-02-05;KFCCORP;20
2024-03-04;DISCOVEROTP;1228
2024-01-12;SWEADENSEGUROS;731
2024-01-19;COACSANTONCO;430
2024-02-01;PLAPAZ;468
2024-02-22;IESSIBARRA;104
2024-01-18;COACVISANDESCOB;86
2024-02-18;VISUALTRACK;47
2024-03-11;COACLOJA;246
2024-01-17;SaviaHTPPBulk;184
2024-03-15;COOPCREDIL;1212
2024-04-03;COOP4OCT;798
2024-01-05;BICCOCOONECTA;18
2024-02-15;DRIVIN;3501
2024-02-05;MAMBATOALD;137
2024-03-25;ESANCHEZ;39
2024-03-28;COOPVCISNE;918
2024-03-10;ALYGUTAY;46
2024-02-07;COOPANDINA;178
2024-02-16;ALDEPRATI;13319
2024-01-31;PACIFICOTP;174200
2024-03-19;BVISIONFUND;166
2024-02-18;USERPOSPRD;1688
2024-03-14;BANFINCA;183
2024-01-05;COOPVCISNE;718
2024-02-04;MARCABELI;12
2024-04-04;DISCOVEROTP;1006
2024-03-09;COACGUARANDA;456
2024-01-10;COONECTA;53
2024-02-22;COACSTODOM;1646
2024-02-02;CELERITYALD;2520
2024-02-23;RESP_AUTO_3600;14
2024-01-30;COOP4OCT;881
2024-02-04;COACLUCAMECLIP;171
2024-01-31;COOPORDESEG;166
2024-03-26;COACAUSTRO;150
2024-03-14;COACMUJERESUCOO;84
2024-01-26;COACSRGIRON;161
2024-03-25;COACPASTAZACOO;3300
2024-03-09;ecuaauto;3
2024-03-03;USERPOSPRD;1892
2024-03-02;COACALIANZA;170
2024-01-10;COACUNIONEJIDO;68
2024-02-23;novacuenca;6
2024-03-17;BANRED;23
2024-03-31;COOPFORTUNA;50
2024-01-05;MAMBATOALD;131
2024-02-15;PNACALRTS;5008
2024-01-26;COOPAMBATO;276
2024-03-19;Pycca;13688
2024-03-04;COOPANTORCHA;797
2024-02-10;MUTUAMBATO;56
2024-01-01;AldeamoOTP;969
2024-01-01;genesis;223
2024-03-29;COOPJARAMILLO;588
2024-04-02;DEPRATIFD;33
2024-01-23;COACSANJORGE;253
2024-01-20;CACPECO;3331
2024-03-31;DIPASO;31
2024-01-09;PACIFICO;26648
2024-03-02;COACCREDIYA;93
2024-01-26;COOPPEDROMONCAYO;674
2024-04-04;COOPANTORCHA;747
2024-03-14;MARATHON;8338
2024-03-22;COACEDUTUNG;119
2024-03-18;COACLUCAMBATCH;1619
2024-02-09;ALDEAMO2;17985
2024-02-03;COACCOMERCIOCOO;2045
2024-01-01;PLAPAZ;221
2024-04-04;GONETAPP;15
2024-03-28;YANBALCOBR;4097
2024-02-14;ALDEAMO;10052
2024-03-08;ALESSACC;1328
2024-02-23;COACPASTAZACOO;4114
2024-03-07;KFCCORP;9
2024-01-03;COACVISANDES;284
2024-01-15;URBANOEXP;3655
2024-01-03;IESSIBARRA;39
2024-03-04;ALDEAMO;63966
2024-03-02;SWEADENSEGUROS;47
2024-03-01;COOPPROVIDA;30
2024-03-21;BLOJA;69008
2024-01-04;COACSANJORGE;545
2024-03-23;BMACHALAPROD;9154
2024-03-13;COACSUMAKKAWSAY;184
2024-01-31;MISUEC;281
2024-01-11;COOPAUSTROEC;454
2024-01-29;COOPSTANA;1446
2024-03-26;KFCCORP;30
2024-03-19;COACATAHUALPA;390
2024-02-26;COOPSCHIMBO;1089
2024-02-28;REPSOL;169
2024-02-26;KUNANSOFT;2
2024-02-25;COOPAMBATOEC;1006
2024-03-26;CACPELOJA;529
2024-04-04;PACIFICOTP;149130
2024-02-21;COACSANMIGUEL;676
2024-01-25;COOPCREDIL;4
2024-02-19;COOPORDESEG;63
2024-02-27;COACMAQUITAC;108
2024-03-07;SaviaHTPPBulk;167
2024-02-12;COACALIANZA;43
2024-02-17;GACELAOTP;10
2024-03-23;COOPFDEASIS;43
2024-03-24;CACPEZAMORA;1278
2024-01-15;COOPSANTONIOTP;94
2024-01-16;COACOCA;8
2024-02-27;SIGMADENTAL;30
2024-02-26;COACRECERWINARI;34
2024-01-24;COACMUJERESUCOO;27
2024-02-26;COOPAMBATO;4179
2024-02-17;COACATAHUALPA;294
2024-02-14;DISCOVEROTP;826
2024-02-23;andinave;941
2024-01-13;SIERRACENTRO;26
2024-03-13;COOPDELCARMEN;14
2024-02-13;COACYANTZAZA;713
2024-02-15;COACVENCEDORES;149
2024-02-11;COACBIBLIAN;3205
2024-02-27;URBANOEXP;6298
2024-01-22;PNACALRTS;5413
2024-03-26;CREDITOSECON;2327
2024-02-11;ALDEPRATI;66
2024-04-03;genesis;872
2024-02-02;KUNANSOFT;17
2024-01-02;novacredit;672
2024-02-24;Pycca;1881
2024-02-15;COACOSCUS;13710
2024-02-14;COACBENEFICA;616
2024-03-13;MODERNA;377
2024-02-23;MOVISTARSMS;10197
2024-03-18;andinave;826
2024-03-12;COACATAHUALPA;377
2024-01-22;COOPSANJOSE;1325
2024-01-23;COACBIBLIAN;3539
2024-02-25;HOSPAMB;48
2024-02-18;COACSUMAKKAWSAY;77
2024-03-28;COACSANFRANWS;179
2024-01-22;COACDAQUILEMAMSV;3
2024-01-05;COOPSTANA;1297
2024-03-04;Farletza;86
2024-02-02;COACCREDISOCIO;15
2024-02-08;URBANOEXP;3805
2024-01-27;FODEMI;153
2024-03-02;COACSANMIGUEL;392
2024-03-26;CNACIONAL;3279
2024-03-26;COACECH;198
2024-01-07;HOSPAMB;83
2024-02-26;DINERSOTP;3438
2024-01-26;COACBENEFICA;391
2024-02-23;BUDGET;11
2024-01-17;COACUNIONEJIDO;86
2024-03-06;DEPRATIMONITOR;1
2024-01-04;mariscal;88
2024-02-03;COONECTA;26
2024-02-23;COACEDUCOTOPAXI;56
2024-02-23;PACIFICO;37561
2024-03-14;COOPMULTIEMPRE;1099
2024-02-24;COAC9OC;548
2024-01-10;COACCHONE;1400
2024-02-20;COACPAD;3241
2024-01-12;COACAUSTRO;195
2024-01-31;SIERRACENTRBATCH;93
2024-01-24;BMACHALAPROD;8446
2024-03-30;COACTENANOTI;172
2024-02-01;COOP23JULCOB;1404
2024-03-05;COACVENCEDORES;146
2024-02-05;FODEMIBATCH;208
2024-03-28;COOPSTANA;3106
2024-02-21;COPCHONE;1014
2024-02-08;COOPLAMANENSE;47
2024-02-09;COACFERDAQUILEMA;9424
2024-02-14;COACOSCUSBATCH;658
2024-02-03;DEPRATI;175
2024-02-06;COACEDUTUNG;363
2024-01-31;COACMUJERESUCOO;30
2024-01-19;ALDEAMO;12414
2024-01-11;COOPLDVALLE;147
2024-02-14;FUNESPOIR;59
2024-03-11;COPCHONE;4260
2024-03-16;ESANCHEZ;14
2024-01-05;PAYPHONEPROD;2562
2024-02-08;UAFE;387
2024-01-17;PACIFICOATM;103161
2024-01-16;COOPPROVIDA;48
2024-01-13;COOPPUELLARO;130
2024-01-05;ECUABULK;261
2024-01-16;PROTRAMITES;24369
2024-02-25;COACEDUTUNG;31
2024-03-04;COOPVCISNE;931
2024-01-25;COACYANTZAZA;2152
2024-01-16;SOFTSIERRA;88
2024-03-07;COACECH;417
2024-03-23;RETAILID4;120
2024-01-17;GEOMIL;507
2024-01-30;INNOVIX;743
2024-02-21;KUNANSOFT;22
2024-02-20;MEDEC;108
2024-02-29;COACCOMERCIOCOO;3535
2024-03-19;COOPANTORIOSMKT;91
2024-04-01;CORPOCEN;1128
2024-02-05;AFECOR;113
2024-01-06;COACLUCAM;707
2024-01-23;UANATACA;2421
2024-02-27;COAC11JUN;731
2024-02-04;COACEDULOJA;56
2024-02-02;BGINTERNACIONAL;10
2024-03-28;COACTULCAN;10211
2024-02-09;BBPROD;128980
2024-03-14;COOPDIFARE;229
2024-04-02;RESP_AUTO_1231;173
2024-03-12;COOPMAQUITA;84
2024-01-05;COACTULCAN;7924
2024-02-08;COOPEDUZAMORA;27
2024-02-05;FUNDEMIRO;69
2024-01-08;COOPKULLKIWASI;638
2024-01-17;AFECOR;131
2024-02-04;SOFTSIERRA;12
2024-02-04;PACIFICO;21032
2024-01-03;SERVIENTREGAGYE;38612
2024-01-29;SICCEC;2535
2024-03-07;MUTUAMBATO;87
2024-01-05;ECOTEC;787
2024-03-24;COACMAQUITAC;117
2024-02-09;ONLYCONTROL;139
2024-03-16;DINERSOTP;1621
2024-02-01;COOPPUELLARO;315
2024-03-29;COACLUCAM;508
2024-03-04;COACOSCUSBATCH;48
2024-02-28;COOPHUANCAVILCA;1292
2024-03-22;ECLIPFIRMADIG;295
2024-03-07;BICCOCOONECTA;14
2024-01-30;RSAGRUPO;6
2024-03-28;ECUABULK;152
2024-03-07;CREDITOSECON;2236
2024-03-14;RESP_AUTO_1231;107
2024-02-08;RESP_AUTO_2424;9
2024-01-23;ALDEPRATI;6786
2024-01-24;PAYPHONEPROD;2632
2024-02-22;COOPMAQUITA;100
2024-02-27;UAFE;111
2024-04-04;MTIMBABURA;913
2024-02-04;COOPPROVIDA;53
2024-03-26;SERVIENTREGAGYE;45391
2024-02-12;COACINTICOOP;70
2024-02-29;coaccrea;9283
2024-03-05;COAC289;103
2024-02-13;COACVISANDES;96
2024-01-08;CACPECOCR;204
2024-03-22;COACSTANITA;451
2024-02-09;SWEADENSEGUROS;276
2024-01-23;CELERITYALD;3089
2024-04-04;PRODUBANCO;189260
2024-01-20;COACPMVEGA;1752
2024-01-05;RESP_AUTO_2424;7
2024-02-02;ECLIPFIRMADIG;176
2024-02-23;WABRAVO;21
2024-03-07;SIGMADENTAL;56
2024-02-16;COOPANDINA;570
2024-01-25;ONLYCONTROL;123
2024-02-18;MSPCITAS;35539
2024-02-04;CREDITOSECON;1403
2024-02-23;COOPANTORCHA;243
2024-02-05;COACLUCAM;649
2024-01-24;PMILESOTP;5234
2024-03-25;MEGARED;4
2024-04-01;COOPCENTRO;96
2024-01-13;COACSANJORGE;93
2024-04-04;COACCHONE;1352
2024-04-03;IMPTOMEBAMBA;185
2024-03-20;VIELECSA;54
2024-03-20;COOPSCHIMBO;1236
2024-03-21;MEDEC;112
2024-02-28;DINERSOTP;3535
2024-02-28;BLOJA;64748
2024-01-11;COACINTICOOP;41
2024-01-12;COACCHONE;1541
2024-02-10;CCSTAROSA;1551
2024-02-12;CACPEZAMORA;1279
2024-03-28;RESP_AUTO_2424;11
2024-01-03;COACEDUCOTOPAXI;174
2024-03-08;DEPRATIMONITOR;1
2024-01-20;COOPAUSTROEC;270
2024-01-09;COOPCENTRO;53
2024-03-16;SaviaHTPPBulk;110
2024-01-25;COACBIBLIAN;3670
2024-03-26;BGINTERNACIONAL;24
2024-02-18;VIAMATICA;1
2024-03-15;IMPTOMEBAMBA;86
2024-02-10;COOPSANTOIMBCOO;144
2024-01-17;DEPRATI;172
2024-03-15;INDULENTES;1
2024-01-18;COOPSANFRANCIS;2785
2024-01-15;DIPASO;32
2024-03-31;ecuaauto;8
2024-01-14;BICCOCOONECTA;1
2024-03-23;GEANOTIFICACION;1506
2024-01-28;COOPCENTRO;77
2024-01-06;COACBIBLIAN;4677
2024-03-06;MEGARED;7
2024-01-18;PROTRAMITES;23292
2024-03-21;MAVESA;1036
2024-03-31;COACMAQUITAC;128
2024-01-17;YANBALCOBR;19308
2024-03-12;COACECH;442
2024-01-03;BANFINCA;156
2024-03-12;PLAPAZ;236
2024-02-26;ESANCHEZ;27
2024-02-05;COOPSANJOSE;1816
2024-03-01;mariscal;20
2024-03-18;BBPROD;151187
2024-04-01;COOPGUALAQUIZA;1146
2024-02-10;FODEMI;145
2024-03-28;COACMUJERESUCOO;67
2024-01-29;COACECH;403
2024-02-02;COACCREDIYA;206
2024-01-21;MIES;50
2024-02-06;VTEKSOFT;25
2024-03-08;FASCA;14
2024-02-23;COACSTANITA;480
2024-01-10;COOP15ABRIL;3449
2024-03-07;COACCHONE;1413
2024-03-30;COACSANTONCO;355
2024-04-03;COACSUMAKKAWSAY;121
2024-03-23;SWEADENSEGUROS;62
2024-04-02;COACUNIONPOPULAR;12
2024-01-05;COACSANMIGUEL;615
2024-04-01;COOPSJCUENCA;5
2024-01-19;CCSTAROSA;1136
2024-03-16;COACALIANZA;115
2024-03-07;PNACALRTS;4547
2024-01-23;INDULENTES;3
2024-03-09;GACELAOTP;12
2024-03-16;MSPCITAS;801
2024-03-10;COOPPUELLARO;74
2024-01-20;USERPOSPRD;1492
2024-03-15;FASCA;11
2024-02-18;GRUPASAOTP;232
2024-02-16;BINTERNACIONAL;86323
2024-03-20;PACIFICO;48304
2024-03-17;COOPLAMANENSE;54
2024-02-06;SIGMADENTAL;39
2024-01-18;EMAGIC;4
2024-02-07;COACPROVIDA;61
2024-02-01;RESP_AUTO_2424;12
2024-03-06;COACSRGIRON;288
2024-02-05;COOPSANTONIOTP;161
2024-02-06;COACSANISIDRO;11
2024-01-30;CACSPMEC;942
